id,career_id,nombre,creditos
475,8,ALGEBRA A,8
476,8,HERRAMIENTAS DE SOFTWARE,8
477,8,FUNDAMENTOS DE DISEÑO DIGITAL,8
478,8,SEMINARIO DE ORIENTACION I.I.,0
479,8,METODOLOGIA DE LA INVESTIGACION,4
480,8,FISICA A,8
481,8,GEOMETRIA Y TRIGONOMETRIA,0
482,8,ESTRUCTURAS DE DATOS I,8
483,8,ALGEBRA B,8
484,8,CALCULO A,8
485,8,MATEMATICAS DISCRETAS I,8
486,8,TECNICAS DE COMUNICACION ORAL Y ESCRITA,5
487,8,INGENIERIA DE REQUERIMIENTOS,10
488,8,LENGUAJES DE PROGRAMACION,8
489,8,ESTRUCTURAS DE DATOS II,8
490,8,CALCULO D,8
491,8,CALCULO C,6
492,8,DISEÑO DIGITAL,10
493,8,ACTIVIDADES ARTISTICAS- DEPORTIVAS O DE DIVULGACION,2
494,8,INGLES 1,5
495,8,MODELADO MATEMATICO,8
496,8,TECNOLOGIA ORIENTADA A OBJETOS,8
497,8,ANALISIS NUMERICO,8
498,8,ARQUITECTURA DE COMPUTADORAS A,10
499,8,LEGISLACION E INFORMATICA,6
500,8,TENDENCIAS SOCIALES,2
501,8,INGLES 2,5
502,8,INGENIERIA DE SOFTWARE A,10
503,8,MODELOS MATEMATICOS B,6
504,8,INTERFACES GRAFICAS CON APLICACIONES,8
505,8,PROBABILIDAD Y ESTADISTICA,8
506,8,ECONOMIA Y FINANZAS,6
507,8,GESTION Y DESARROLLO SOCIAL,2
508,8,INGLES 3,5
509,8,INGENIERIA DE SOFTWARE B,8
510,8,GRAFICACION POR COMPUTADORA,8
511,8,GRAFOS,10
512,8,SISTEMAS OPERATIVOS,8
513,8,ESTRUCTURAS DE ARCHIVOS,8
514,8,ARTE- CULTURA Y HUMANIDADES I,2
515,8,INGLES 4,5
516,8,INGENIERIA DE SOFTWARE C,8
517,8,ADMINISTRACION DE SISTEMAS,8
518,8,COMPILADORES E INTERPRETES A,10
519,8,REDES A,12
520,8,BASES DE DATOS A,10
521,8,ADMINISTRACION,8
522,8,LIDERAZGO Y EMPRENDIMIENTO,3
523,8,INGLES 5,5
524,8,FUNDAMENTOS DE DESARROLLO WEB,8
525,8,GRAFICACION POR COMPUTADORA B,10
526,8,VISION COMPUTACIONAL,8
527,8,SISTEMAS OPERATIVOS B,10
528,8,ADMINISTRACION DE BASES DE DATOS,8
529,8,PROYECTO INTEGRADOR,10
530,8,ARTE- CULTURA Y HUMANIDADES II,2
531,8,APLICACIONES WEB INTERACTIVAS,8
532,8,FUNDAMENTOS DE INTELIGENCIA ARTIFICIAL,8
533,8,SISTEMAS DE INFORMACION A,10
534,8,TELEMATICA A,8
535,8,REDES B,10
536,8,BASES DE DATOS B,10
537,8,ADMINISTRACION INFORMATICA A,8
538,8,PRACTICAS PROFESIONALES I,15
539,8,SUPERCOMPUTO,8
540,8,COMPUTACION UBICUA,8
541,8,SISTEMAS DE INFORMACION B,6
542,8,PRINCIPIOS DE SEGURIDAD INFORMATICA,8
543,8,SEMINARIO DE EGRESO,0
544,8,TECNOLOGIA INFORMATICA,6
545,8,ADMINISTRACION INFORMATICA B,8
546,8,SEMINARIO I.I.,1
547,9,ALGEBRA A,8
548,9,PRINCIPIOS DE ADMINISTRACION,6
549,9,QUIMICA A,8
550,9,GEOMETRIA DESCRIPTIVA,5
551,9,GEOMETRIA Y TRIGONOMETRIA,0
552,9,FISICA A,8
553,9,CALCULO A,8
554,9,SEMINARIO DE ORIENTACION IM,1
555,9,METODOLOGIA DE LA INVESTIGACION,4
556,9,ALGEBRA B,8
557,9,HABILIDADES SOCIO AFECTIVAS Y ETICAS,3
558,9,DIBUJO EN INGENIERIA MECANICA,8
559,9,CALCULO C,6
560,9,ESTATICA,8
561,9,FISICA B,8
562,9,CALCULO B,8
563,9,INGLES 1,0
564,9,PROBABILIDAD E INFERENCIA ESTADISTICA,10
565,9,INGENIERIA DE MATERIALES I,6
566,9,DIBUJO ASISTIDO POR COMPUTADORA,3
567,9,DINAMICA,8
568,9,MECANICA DE MATERIALES I,11
569,9,CALCULO D,8
570,9,INGLES 2,0
571,9,INVESTIGACION DE OPERACIONES I,6
572,9,INTRODUCCIÓN A LA PROGRAMACIÓN,8
573,9,INGENIERIA DE MATERIALES II,7
574,9,METROLOGIA,8
575,9,CINEMATICA DE LAS MAQUINAS,10
576,9,MECANICA DE MATERIALES II,6
577,9,INGLES 3,0
578,9,TECNICAS DE COMUNICACION ORAL Y ESCRITA,5
579,9,SISTEMAS DE PRODUCCION,8
580,9,ANALISIS NUMERICO,6
581,9,PROCESOS DE FABRICACION I,8
582,9,METODOLOGIA DEL DISEÑO,6
583,9,TERMODINAMICA,11
584,9,ELECTROTECNIA PARA INGENIERIA I,9
585,9,INGLES 4,0
